epoch,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_root_mean_squared_error
0,2852454.25,162.7885284423828,37.81832504272461,81510.21875,285.49993896484375,nan,nan,nan,nan,nan
1,311089.78125,70.16776275634766,17.968338012695312,8894.939453125,94.31298828125,nan,nan,nan,nan,nan
2,288394.21875,67.12747955322266,18.822052001953125,8247.2646484375,90.814453125,nan,nan,nan,nan,nan
3,265463.09375,64.21686553955078,17.044775009155273,7589.08544921875,87.1153564453125,nan,nan,nan,nan,nan
4,236277.859375,61.0925178527832,16.672727584838867,6757.50244140625,82.20403289794922,nan,nan,nan,nan,nan
5,249157.125,62.89693069458008,16.748498916625977,7128.54736328125,84.43072509765625,nan,nan,nan,nan,nan
6,221011.203125,58.452667236328125,15.381275177001953,6322.73779296875,79.5156478881836,nan,nan,nan,nan,nan
7,206839.328125,56.11825180053711,14.412189483642578,5913.58154296875,76.89981842041016,nan,nan,nan,nan,nan
8,175161.875,51.669822692871094,13.162878036499023,5008.7353515625,70.77242279052734,nan,nan,nan,nan,nan
9,180412.046875,52.82415008544922,13.514717102050781,5158.9208984375,71.82563018798828,nan,nan,nan,nan,nan
10,174800.0,52.061283111572266,13.639726638793945,5001.9306640625,70.72432708740234,nan,nan,nan,nan,nan
11,182688.25,52.93717575073242,13.523587226867676,5226.111328125,72.2918472290039,nan,nan,nan,nan,nan
12,163383.96875,49.3335075378418,12.923663139343262,4671.8154296875,68.35067749023438,nan,nan,nan,nan,nan
13,178155.6875,52.35757064819336,13.64588451385498,5094.71044921875,71.37724304199219,nan,nan,nan,nan,nan
14,168695.328125,50.329345703125,12.809154510498047,4824.19921875,69.45645904541016,nan,nan,nan,nan,nan
15,159243.03125,49.21943283081055,12.468024253845215,4554.20751953125,67.48487091064453,nan,nan,nan,nan,nan
16,162059.71875,49.57392883300781,12.901984214782715,4632.53857421875,68.06275177001953,nan,nan,nan,nan,nan
17,164052.796875,50.150665283203125,12.659502029418945,4690.9794921875,68.49072265625,nan,nan,nan,nan,nan
18,147263.53125,46.915958404541016,11.95063304901123,4216.49462890625,64.93453979492188,nan,nan,nan,nan,nan
19,155358.421875,48.197425842285156,12.426653861999512,4442.716796875,66.6537094116211,nan,nan,nan,nan,nan
