epoch,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_root_mean_squared_error
0,8080020.5,404.51171875,48.965614318847656,230857.78125,480.47662353515625,2693096.5,229.3555450439453,253635200.0,77173.6015625,277.8013610839844
0,2325678.5,178.29542541503906,43.378963470458984,66463.171875,257.8045349121094,nan,nan,nan,nan,nan
1,655382.75,96.67375946044922,20.706315994262695,18735.05078125,136.87603759765625,nan,nan,nan,nan,nan
2,649385.875,96.67778778076172,20.43199920654297,18570.314453125,136.27293395996094,nan,nan,nan,nan,nan
3,621202.0625,94.10540771484375,19.51834487915039,17764.85546875,133.2848663330078,nan,nan,nan,nan,nan
4,618464.75,94.45316314697266,20.567604064941406,17686.212890625,132.98951721191406,nan,nan,nan,nan,nan
5,602797.0625,92.9666519165039,20.03530502319336,17238.908203125,131.29702758789062,nan,nan,nan,nan,nan
6,590008.875,92.79171752929688,20.68541145324707,16882.4765625,129.93258666992188,nan,nan,nan,nan,nan
7,578233.8125,91.45075988769531,20.1649112701416,16531.736328125,128.5758056640625,nan,nan,nan,nan,nan
8,561242.5625,89.7239990234375,19.66620445251465,16052.2509765625,126.69747924804688,nan,nan,nan,nan,nan
9,559313.4375,89.9793701171875,20.077943801879883,15987.2353515625,126.44064331054688,nan,nan,nan,nan,nan
10,559292.0,89.48918151855469,19.514902114868164,15989.7099609375,126.45042419433594,nan,nan,nan,nan,nan
11,550804.4375,89.01788330078125,19.404613494873047,15747.5869140625,125.48938751220703,nan,nan,nan,nan,nan
12,558227.0,89.53584289550781,19.639142990112305,15961.857421875,126.34024810791016,nan,nan,nan,nan,nan
13,546511.5625,89.2229232788086,20.054149627685547,15628.806640625,125.01522827148438,nan,nan,nan,nan,nan
14,560795.3125,90.4880142211914,20.211660385131836,16035.9443359375,126.63311004638672,nan,nan,nan,nan,nan
15,553269.9375,90.1622314453125,20.618619918823242,15812.8603515625,125.74919891357422,nan,nan,nan,nan,nan
16,563576.5625,90.89431762695312,20.697736740112305,16117.6337890625,126.95524597167969,nan,nan,nan,nan,nan
17,554069.9375,89.5252685546875,19.944486618041992,15843.4765625,125.8708724975586,nan,nan,nan,nan,nan
18,540467.125,88.12217712402344,19.354042053222656,15458.095703125,124.3305892944336,nan,nan,nan,nan,nan
19,550486.5,89.10672760009766,19.64254379272461,15740.5888671875,125.46150207519531,nan,nan,nan,nan,nan
