epoch,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_root_mean_squared_error
0,2629262.25,192.1350555419922,3403515.25,75139.6953125,274.1162109375,128307048.0,1050.87548828125,345580768.0,3669148.0,1915.5020751953125
1,1294036.125,144.62142944335938,9561474.0,36988.2421875,192.32327270507812,181876064.0,1344.3072509765625,698464064.0,5201175.5,2280.608642578125
2,515828.28125,87.45337677001953,7440036.0,14741.837890625,121.41596984863281,725709.75,102.33027648925781,267471552.0,20761.205078125,144.08749389648438
3,263537.6875,63.35342788696289,5672271.5,7531.80810546875,86.7859878540039,616166.9375,83.7989730834961,242884592.0,17628.26953125,132.77149963378906
0,2514427.75,203.30838012695312,9733235.0,71869.015625,268.083984375,11916431.0,513.0642700195312,442081440.0,340797.25,583.7784423828125
0,5381254.0,298.0867004394531,3777813.25,153773.09375,392.1391296386719,6082050.0,380.0848388671875,100097792.0,173933.65625,417.05352783203125
0,4667239.5,290.3815002441406,9035751.0,133391.0,365.2273254394531,2384125.25,211.9951934814453,327311936.0,68196.359375,261.1443176269531
0,3762924.0,246.619140625,7812759.0,107532.890625,327.9220886230469,341222336.0,1508.4129638671875,424821952.0,9759044.0,3123.94677734375
1,2050154.0,189.55657958984375,8954693.0,58583.7734375,242.0408477783203,6277462.5,338.0019836425781,310717056.0,179547.078125,423.7299499511719
2,560450.125,90.99989318847656,6573335.5,16017.44921875,126.56005859375,535583.875,83.40013885498047,253674288.0,15321.9853515625,123.7820053100586
3,273540.40625,65.1512451171875,6937679.0,7821.67041015625,88.4402084350586,491141.875,82.27983856201172,233944128.0,14050.3603515625,118.53421783447266
4,248652.421875,61.622920989990234,8055979.0,7114.66650390625,84.34848022460938,481609.40625,72.32135009765625,249307440.0,13780.7548828125,117.3914566040039
5,201880.34375,54.432472229003906,7102547.5,5771.12744140625,75.96793365478516,442097.8125,72.34473419189453,238063424.0,12649.6181640625,112.47052001953125
6,200535.9375,54.16790771484375,7814364.0,5733.958984375,75.72290802001953,479322.5625,71.98902893066406,246398320.0,13715.7998046875,117.11447143554688
7,191727.515625,52.83601379394531,7246605.0,5481.6748046875,74.038330078125,463818.1875,71.13309478759766,246642192.0,13271.72265625,115.20296478271484
8,188254.625,52.35707473754883,7436338.0,5382.09326171875,73.36275482177734,457614.1875,70.96977233886719,245845168.0,13094.091796875,114.4294204711914
9,191176.625,52.714073181152344,7757097.0,5465.1318359375,73.92652893066406,459111.53125,70.94022369384766,246060960.0,13136.95703125,114.61656188964844
10,189006.6875,52.29697799682617,6951176.5,5404.810546875,73.51741790771484,457422.75,70.89869689941406,245258416.0,13088.716796875,114.40592956542969
11,189376.71875,52.44725036621094,8619721.0,5412.802734375,73.5717544555664,457970.59375,70.95561218261719,245754576.0,13104.3271484375,114.47413635253906
12,191157.671875,52.62912368774414,6369879.5,5463.1337890625,73.91301727294922,455947.875,70.87787628173828,245725376.0,13046.3837890625,114.22076416015625
13,189607.984375,52.46619415283203,8327910.0,5420.57080078125,73.62452697753906,454838.625,70.92120361328125,245327536.0,13014.61328125,114.08161163330078
14,189890.734375,52.30377960205078,7368368.0,5430.08154296875,73.6890869140625,461250.65625,71.0129623413086,246539328.0,13198.2451171875,114.88361358642578
15,188954.015625,52.3825569152832,7616137.0,5401.4208984375,73.4943618774414,460731.8125,71.05587005615234,246713104.0,13183.3271484375,114.81867218017578
16,188432.109375,52.41019821166992,8836318.0,5388.6513671875,73.40743255615234,459362.46875,70.95431518554688,246876608.0,13144.0771484375,114.64762115478516
17,189877.0625,52.417701721191406,5727820.5,5427.849609375,73.67394256591797,458580.46875,70.9480972290039,246065136.0,13121.8076171875,114.55046081542969
18,189068.734375,52.354225158691406,7889320.5,5408.208984375,73.54052734375,460543.125,70.99932861328125,246398896.0,13178.0029296875,114.79548645019531
19,191981.921875,52.80467987060547,7350223.5,5487.54541015625,74.07796478271484,461240.46875,71.0609359741211,246618256.0,13197.9267578125,114.88223266601562
0,6331602.5,313.9312744140625,45.1246223449707,180902.90625,425.3268127441406,nan,nan,nan,nan,nan
0,17842358.0,592.0306396484375,86.2979965209961,509781.53125,713.9898681640625,nan,nan,nan,nan,nan
0,6777305.5,330.9022216796875,49.25886917114258,193637.265625,440.0423583984375,nan,nan,nan,nan,nan
0,10128428.0,432.4075927734375,63.56367111206055,289383.625,537.9439086914062,nan,nan,nan,nan,nan
0,11144545.0,447.5900573730469,60.5839729309082,318415.6875,564.2833251953125,nan,nan,nan,nan,nan
1,6540418.0,339.7751159667969,53.67669677734375,186869.109375,432.2835998535156,nan,nan,nan,nan,nan
