epoch,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_root_mean_squared_error
0,914969.25,92.39627075195312,2438485.25,26141.9765625,161.68479919433594,nan,nan,nan,nan,nan
1,174322.734375,51.81013870239258,3148060.25,4980.6552734375,70.57376098632812,nan,nan,nan,nan,nan
2,145829.75,46.96928405761719,2108748.5,4166.5673828125,64.5489501953125,nan,nan,nan,nan,nan
3,144838.96875,46.88090133666992,2812474.25,4138.25439453125,64.32926177978516,nan,nan,nan,nan,nan
4,147261.953125,47.324737548828125,3253389.25,4207.48828125,64.86515808105469,nan,nan,nan,nan,nan
5,142608.0625,46.569488525390625,3282203.75,4074.51513671875,63.83192825317383,nan,nan,nan,nan,nan
6,142890.5625,46.559234619140625,3183334.25,4082.58740234375,63.89512634277344,nan,nan,nan,nan,nan
7,145125.90625,47.026893615722656,2942490.5,4146.4501953125,64.39293670654297,nan,nan,nan,nan,nan
8,144239.140625,46.82999801635742,2964346.0,4121.1142578125,64.19590759277344,nan,nan,nan,nan,nan
9,144152.0625,46.69925308227539,3160316.75,4118.6298828125,64.17655181884766,nan,nan,nan,nan,nan
10,142236.15625,46.54166793823242,3179782.5,4063.890380859375,63.74864959716797,nan,nan,nan,nan,nan
11,147083.1875,47.201995849609375,3217337.5,4202.37060546875,64.82569122314453,nan,nan,nan,nan,nan
12,143490.171875,46.637420654296875,2915307.5,4099.7197265625,64.029052734375,nan,nan,nan,nan,nan
13,143148.84375,46.64156723022461,2750576.5,4089.97119140625,63.952880859375,nan,nan,nan,nan,nan
14,146176.84375,47.27176284790039,3294082.25,4176.478515625,64.62567901611328,nan,nan,nan,nan,nan
15,145127.109375,46.983482360839844,2199514.25,4146.49462890625,64.39328002929688,nan,nan,nan,nan,nan
16,141606.96875,46.3731575012207,2669634.25,4045.9130859375,63.60749053955078,nan,nan,nan,nan,nan
17,141646.53125,46.33633041381836,3206630.75,4047.0400390625,63.61635208129883,nan,nan,nan,nan,nan
18,146159.59375,47.183929443359375,2950954.75,4175.984375,64.62185668945312,nan,nan,nan,nan,nan
19,142072.265625,46.4251594543457,2625963.75,4059.2060546875,63.71189880371094,nan,nan,nan,nan,nan
20,140063.640625,46.10923767089844,3034008.25,4001.8193359375,63.25993347167969,nan,nan,nan,nan,nan
21,142917.296875,46.5572624206543,3009203.0,4083.35546875,63.90113830566406,nan,nan,nan,nan,nan
22,145710.859375,47.04759979248047,2776828.0,4163.169921875,64.52262878417969,nan,nan,nan,nan,nan
23,142899.65625,46.552284240722656,2830630.5,4082.845703125,63.89714813232422,nan,nan,nan,nan,nan
24,143699.953125,46.7103385925293,3229963.0,4105.71044921875,64.07582092285156,nan,nan,nan,nan,nan
