epoch,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_root_mean_squared_error
0,6603032.5,299.3915100097656,55.75349044799805,188658.140625,434.34796142578125,nan,nan,nan,nan,nan
0,15945430.0,582.2117309570312,90.81684112548828,455583.4375,674.96923828125,nan,nan,nan,nan,nan
0,6356297.0,310.3472595214844,78.26771545410156,181608.453125,426.1554260253906,nan,nan,nan,nan,nan
1,2458333.75,209.8176727294922,44.24108123779297,70238.1171875,265.0247497558594,nan,nan,nan,nan,nan
2,1894062.5,188.42311096191406,43.56263732910156,54116.0859375,232.62864685058594,nan,nan,nan,nan,nan
3,1749257.125,176.65110778808594,37.99510192871094,49978.7578125,223.55929565429688,nan,nan,nan,nan,nan
4,1691074.125,174.0477294921875,36.08024597167969,48316.40234375,219.80992126464844,nan,nan,nan,nan,nan
5,1578338.875,166.38267517089844,34.619808197021484,45095.390625,212.35675048828125,nan,nan,nan,nan,nan
6,1632018.375,170.76678466796875,34.276947021484375,46629.09375,215.93771362304688,nan,nan,nan,nan,nan
7,1576506.25,169.22476196289062,34.96961212158203,45043.05078125,212.2334747314453,nan,nan,nan,nan,nan
8,1546002.125,164.09132385253906,32.887760162353516,44171.4921875,210.17015075683594,nan,nan,nan,nan,nan
9,3665468.0,256.8218994140625,58.6245231628418,104727.6328125,323.6164855957031,nan,nan,nan,nan,nan
10,601214.125,97.20223236083984,26.442546844482422,17177.54296875,131.06312561035156,nan,nan,nan,nan,nan
11,387776.78125,76.96183776855469,20.373207092285156,11079.3349609375,105.2584228515625,nan,nan,nan,nan,nan
12,365272.5,77.01841735839844,20.0848331451416,10436.3603515625,102.15850830078125,nan,nan,nan,nan,nan
13,397789.0,79.00037384033203,18.922433853149414,11365.4013671875,106.60863494873047,nan,nan,nan,nan,nan
14,311633.65625,70.07074737548828,18.097490310668945,8903.81640625,94.36003875732422,nan,nan,nan,nan,nan
